id,type,book,chapter,verse,text,normalized_text
31,verse,Genesis,1,31,"तब परमेश्वर ने जो कुछ बनाया था, सब को देखा, तो क्या देखा, कि वह बहुत ही अच्छा है। तथा सांझ हुई फिर भोर हुआ। इस प्रकार छठवां दिन हो गया॥","तब परमेश्वर ने जो कुछ बनाया था, सब को देखा, तो क्या देखा, कि वह बहुत ही अच्छा है। तथा सांझ हुई फिर भोर हुआ। इस प्रकार छठवां दिन हो गया॥"
32,verse,Genesis,2,1,यों आकाश और पृथ्वी और उनकी सारी सेना का बनाना समाप्त हो गया।,यों आकाश और पृथ्वी और उनकी सारी सेना का बनाना समाप्त हो गया।
33,verse,Genesis,2,2,और परमेश्वर ने अपना काम जिसे वह करता था सातवें दिन समाप्त किया। और उसने अपने किए हुए सारे काम से सातवें दिन विश्राम किया।,और परमेश्वर ने अपना काम जिसे वह करता था सातवें दिन समाप्त किया। और उसने अपने किए हुए सारे काम से सातवें दिन विश्राम किया।
34,verse,Genesis,2,3,और परमेश्वर ने सातवें दिन को आशीष दी और पवित्र ठहराया; क्योंकि उस में उसने अपनी सृष्टि की रचना के सारे काम से विश्राम लिया।,और परमेश्वर ने सातवें दिन को आशीष दी और पवित्र ठहराया; क्योंकि उस में उसने अपनी सृष्टि की रचना के सारे काम से विश्राम लिया।
35,verse,Genesis,2,4,आकाश और पृथ्वी की उत्पत्ति का वृत्तान्त यह है कि जब वे उत्पन्न हुए अर्थात जिस दिन यहोवा परमेश्वर ने पृथ्वी और आकाश को बनाया:,आकाश और पृथ्वी की उत्पत्ति का वृत्तान्त यह है कि जब वे उत्पन्न हुए अर्थात जिस दिन यहोवा परमेश्वर ने पृथ्वी और आकाश को बनाया:
36,verse,Genesis,2,5,"तब मैदान का कोई पौधा भूमि पर न था, और न मैदान का कोई छोटा पेड़ उगा था, क्योंकि यहोवा परमेश्वर ने पृथ्वी पर जल नहीं बरसाया था, और भूमि पर खेती करने के लिये मनुष्य भी नहीं था;","तब मैदान का कोई पौधा भूमि पर न था, और न मैदान का कोई छोटा पेड़ उगा था, क्योंकि यहोवा परमेश्वर ने पृथ्वी पर जल नहीं बरसाया था, और भूमि पर खेती करने के लिये मनुष्य भी नहीं था;"
37,verse,Genesis,2,6,तौभी कोहरा पृथ्वी से उठता था जिस से सारी भूमि सिंच जाती थी,तौभी कोहरा पृथ्वी से उठता था जिस से सारी भूमि सिंच जाती थी
38,verse,Genesis,2,7,और यहोवा परमेश्वर ने आदम को भूमि की मिट्टी से रचा और उसके नथनों में जीवन का श्वास फूंक दिया; और आदम जीवता प्राणी बन गया।,और यहोवा परमेश्वर ने आदम को भूमि की मिट्टी से रचा और उसके नथनों में जीवन का श्वास फूंक दिया; और आदम जीवता प्राणी बन गया।
39,verse,Genesis,2,8,"और यहोवा परमेश्वर ने पूर्व की ओर अदन देश में एक वाटिका लगाई; और वहां आदम को जिसे उसने रचा था, रख दिया।","और यहोवा परमेश्वर ने पूर्व की ओर अदन देश में एक वाटिका लगाई; और वहां आदम को जिसे उसने रचा था, रख दिया।"
40,verse,Genesis,2,9,"और यहोवा परमेश्वर ने भूमि से सब भांति के वृक्ष, जो देखने में मनोहर और जिनके फल खाने में अच्छे हैं उगाए, और वाटिका के बीच में जीवन के वृक्ष को और भले या बुरे के ज्ञान के वृक्ष को भी लगाया।","और यहोवा परमेश्वर ने भूमि से सब भांति के वृक्ष, जो देखने में मनोहर और जिनके फल खाने में अच्छे हैं उगाए, और वाटिका के बीच में जीवन के वृक्ष को और भले या बुरे के ज्ञान के वृक्ष को भी लगाया।"
41,verse,Genesis,2,10,और उस वाटिका को सींचने के लिये एक महानदी अदन से निकली और वहां से आगे बहकर चार धारा में हो गई।,और उस वाटिका को सींचने के लिये एक महानदी अदन से निकली और वहां से आगे बहकर चार धारा में हो गई।
42,verse,Genesis,2,11,"पहिली धारा का नाम पीशोन है, यह वही है जो हवीला नाम के सारे देश को जहां सोना मिलता है घेरे हुए है।","पहिली धारा का नाम पीशोन है, यह वही है जो हवीला नाम के सारे देश को जहां सोना मिलता है घेरे हुए है।"
43,verse,Genesis,2,12,"उस देश का सोना चोखा होता है, वहां मोती और सुलैमानी पत्थर भी मिलते हैं।","उस देश का सोना चोखा होता है, वहां मोती और सुलैमानी पत्थर भी मिलते हैं।"
44,verse,Genesis,2,13,"और दूसरी नदी का नाम गीहोन है, यह वही है जो कूश के सारे देश को घेरे हुए है।","और दूसरी नदी का नाम गीहोन है, यह वही है जो कूश के सारे देश को घेरे हुए है।"
45,verse,Genesis,2,14,"और तीसरी नदी का नाम हिद्देकेल है, यह वही है जो अश्शूर के पूर्व की ओर बहती है। और चौथी नदी का नाम फरात है।","और तीसरी नदी का नाम हिद्देकेल है, यह वही है जो अश्शूर के पूर्व की ओर बहती है। और चौथी नदी का नाम फरात है।"
46,verse,Genesis,2,15,"तब यहोवा परमेश्वर ने आदम को ले कर अदन की वाटिका में रख दिया, कि वह उस में काम करे और उसकी रक्षा करे,","तब यहोवा परमेश्वर ने आदम को ले कर अदन की वाटिका में रख दिया, कि वह उस में काम करे और उसकी रक्षा करे,"
47,verse,Genesis,2,16,"तब यहोवा परमेश्वर ने आदम को यह आज्ञा दी, कि तू वाटिका के सब वृक्षों का फल बिना खटके खा सकता है:","तब यहोवा परमेश्वर ने आदम को यह आज्ञा दी, कि तू वाटिका के सब वृक्षों का फल बिना खटके खा सकता है:"
48,verse,Genesis,2,17,"पर भले या बुरे के ज्ञान का जो वृक्ष है, उसका फल तू कभी न खाना: क्योंकि जिस दिन तू उसका फल खाए उसी दिन अवश्य मर जाएगा॥","पर भले या बुरे के ज्ञान का जो वृक्ष है, उसका फल तू कभी न खाना: क्योंकि जिस दिन तू उसका फल खाए उसी दिन अवश्य मर जाएगा॥"
49,verse,Genesis,2,18,"फिर यहोवा परमेश्वर ने कहा, आदम का अकेला रहना अच्छा नहीं; मैं उसके लिये एक ऐसा सहायक बनाऊंगा जो उससे मेल खाए।","फिर यहोवा परमेश्वर ने कहा, आदम का अकेला रहना अच्छा नहीं; मैं उसके लिये एक ऐसा सहायक बनाऊंगा जो उससे मेल खाए।"
50,verse,Genesis,2,19,"और यहोवा परमेश्वर भूमि में से सब जाति के बनैले पशुओं, और आकाश के सब भाँति के पक्षियों को रचकर आदम के पास ले आया कि देखें, कि वह उनका क्या क्या नाम रखता है; और जिस जिस जीवित प्राणी का जो जो नाम आदम ने रखा वही उसका नाम हो गया।","और यहोवा परमेश्वर भूमि में से सब जाति के बनैले पशुओं, और आकाश के सब भाँति के पक्षियों को रचकर आदम के पास ले आया कि देखें, कि वह उनका क्या क्या नाम रखता है; और जिस जिस जीवित प्राणी का जो जो नाम आदम ने रखा वही उसका नाम हो गया।"
51,verse,Genesis,2,20,"सो आदम ने सब जाति के घरेलू पशुओं, और आकाश के पक्षियों, और सब जाति के बनैले पशुओं के नाम रखे; परन्तु आदम के लिये कोई ऐसा सहायक न मिला जो उससे मेल खा सके।","सो आदम ने सब जाति के घरेलू पशुओं, और आकाश के पक्षियों, और सब जाति के बनैले पशुओं के नाम रखे; परन्तु आदम के लिये कोई ऐसा सहायक न मिला जो उससे मेल खा सके।"
52,verse,Genesis,2,21,"तब यहोवा परमेश्वर ने आदम को भारी नीन्द में डाल दिया, और जब वह सो गया तब उसने उसकी एक पसली निकाल कर उसकी सन्ती मांस भर दिया।","तब यहोवा परमेश्वर ने आदम को भारी नीन्द में डाल दिया, और जब वह सो गया तब उसने उसकी एक पसली निकाल कर उसकी सन्ती मांस भर दिया।"
53,verse,Genesis,2,22,"और यहोवा परमेश्वर ने उस पसली को जो उसने आदम में से निकाली थी, स्त्री बना दिया; और उसको आदम के पास ले आया।","और यहोवा परमेश्वर ने उस पसली को जो उसने आदम में से निकाली थी, स्त्री बना दिया; और उसको आदम के पास ले आया।"
54,verse,Genesis,2,23,"और आदम ने कहा अब यह मेरी हड्डियों में की हड्डी और मेरे मांस में का मांस है: सो इसका नाम नारी होगा, क्योंकि यह नर में से निकाली गई है।","और आदम ने कहा अब यह मेरी हड्डियों में की हड्डी और मेरे मांस में का मांस है: सो इसका नाम नारी होगा, क्योंकि यह नर में से निकाली गई है।"
55,verse,Genesis,2,24,इस कारण पुरूष अपने माता पिता को छोड़कर अपनी पत्नी से मिला रहेगा और वे एक तन बने रहेंगे।,इस कारण पुरूष अपने माता पिता को छोड़कर अपनी पत्नी से मिला रहेगा और वे एक तन बने रहेंगे।
56,verse,Genesis,2,25,"और आदम और उसकी पत्नी दोनो नंगे थे, पर लजाते न थे॥","और आदम और उसकी पत्नी दोनो नंगे थे, पर लजाते न थे॥"
57,verse,Genesis,3,1,"यहोवा परमेश्वर ने जितने बनैले पशु बनाए थे, उन सब में सर्प धूर्त था, और उसने स्त्री से कहा, क्या सच है, कि परमेश्वर ने कहा, कि तुम इस बाटिका के किसी वृक्ष का फल न खाना?","यहोवा परमेश्वर ने जितने बनैले पशु बनाए थे, उन सब में सर्प धूर्त था, और उसने स्त्री से कहा, क्या सच है, कि परमेश्वर ने कहा, कि तुम इस बाटिका के किसी वृक्ष का फल न खाना?"
58,verse,Genesis,3,2,"स्त्री ने सर्प से कहा, इस बाटिका के वृक्षों के फल हम खा सकते हैं।","स्त्री ने सर्प से कहा, इस बाटिका के वृक्षों के फल हम खा सकते हैं।"
59,verse,Genesis,3,3,"पर जो वृक्ष बाटिका के बीच में है, उसके फल के विषय में परमेश्वर ने कहा है कि न तो तुम उसको खाना और न उसको छूना, नहीं तो मर जाओगे।","पर जो वृक्ष बाटिका के बीच में है, उसके फल के विषय में परमेश्वर ने कहा है कि न तो तुम उसको खाना और न उसको छूना, नहीं तो मर जाओगे।"
60,verse,Genesis,3,4,"तब सर्प ने स्त्री से कहा, तुम निश्चय न मरोगे,","तब सर्प ने स्त्री से कहा, तुम निश्चय न मरोगे,"
61,verse,Genesis,3,5,"वरन परमेश्वर आप जानता है, कि जिस दिन तुम उसका फल खाओगे उसी दिन तुम्हारी आंखें खुल जाएंगी, और तुम भले बुरे का ज्ञान पाकर परमेश्वर के तुल्य हो जाओगे।","वरन परमेश्वर आप जानता है, कि जिस दिन तुम उसका फल खाओगे उसी दिन तुम्हारी आंखें खुल जाएंगी, और तुम भले बुरे का ज्ञान पाकर परमेश्वर के तुल्य हो जाओगे।"
62,verse,Genesis,3,6,"सो जब स्त्री ने देखा कि उस वृक्ष का फल खाने में अच्छा, और देखने में मनभाऊ, और बुद्धि देने के लिये चाहने योग्य भी है, तब उसने उस में से तोड़कर खाया; और अपने पति को भी दिया, और उसने भी खाया।","सो जब स्त्री ने देखा कि उस वृक्ष का फल खाने में अच्छा, और देखने में मनभाऊ, और बुद्धि देने के लिये चाहने योग्य भी है, तब उसने उस में से तोड़कर खाया; और अपने पति को भी दिया, और उसने भी खाया।"
63,verse,Genesis,3,7,"तब उन दोनों की आंखे खुल गई, और उन को मालूम हुआ कि वे नंगे है; सो उन्होंने अंजीर के पत्ते जोड़ जोड़ कर लंगोट बना लिये।","तब उन दोनों की आंखे खुल गई, और उन को मालूम हुआ कि वे नंगे है; सो उन्होंने अंजीर के पत्ते जोड़ जोड़ कर लंगोट बना लिये।"
64,verse,Genesis,3,8,तब यहोवा परमेश्वर जो दिन के ठंडे समय बाटिका में फिरता था उसका शब्द उन को सुनाई दिया। तब आदम और उसकी पत्नी बाटिका के वृक्षों के बीच यहोवा परमेश्वर से छिप गए।,तब यहोवा परमेश्वर जो दिन के ठंडे समय बाटिका में फिरता था उसका शब्द उन को सुनाई दिया। तब आदम और उसकी पत्नी बाटिका के वृक्षों के बीच यहोवा परमेश्वर से छिप गए।
65,verse,Genesis,3,9,"तब यहोवा परमेश्वर ने पुकार कर आदम से पूछा, तू कहां है?","तब यहोवा परमेश्वर ने पुकार कर आदम से पूछा, तू कहां है?"
66,verse,Genesis,3,10,"उसने कहा, मैं तेरा शब्द बारी में सुन कर डर गया क्योंकि मैं नंगा था; इसलिये छिप गया।","उसने कहा, मैं तेरा शब्द बारी में सुन कर डर गया क्योंकि मैं नंगा था; इसलिये छिप गया।"
67,verse,Genesis,3,11,"उसने कहा, किस ने तुझे चिताया कि तू नंगा है? जिस वृक्ष का फल खाने को मैं ने तुझे बर्जा था, क्या तू ने उसका फल खाया है?","उसने कहा, किस ने तुझे चिताया कि तू नंगा है? जिस वृक्ष का फल खाने को मैं ने तुझे बर्जा था, क्या तू ने उसका फल खाया है?"
68,verse,Genesis,3,12,"आदम ने कहा जिस स्त्री को तू ने मेरे संग रहने को दिया है उसी ने उस वृक्ष का फल मुझे दिया, और मैं ने खाया।","आदम ने कहा जिस स्त्री को तू ने मेरे संग रहने को दिया है उसी ने उस वृक्ष का फल मुझे दिया, और मैं ने खाया।"
69,verse,Genesis,3,13,"तब यहोवा परमेश्वर ने स्त्री से कहा, तू ने यह क्या किया है? स्त्री ने कहा, सर्प ने मुझे बहका दिया तब मैं ने खाया।","तब यहोवा परमेश्वर ने स्त्री से कहा, तू ने यह क्या किया है? स्त्री ने कहा, सर्प ने मुझे बहका दिया तब मैं ने खाया।"
70,verse,Genesis,3,14,"तब यहोवा परमेश्वर ने सर्प से कहा, तू ने जो यह किया है इसलिये तू सब घरेलू पशुओं, और सब बनैले पशुओं से अधिक शापित है; तू पेट के बल चला करेगा, और जीवन भर मिट्टी चाटता रहेगा:","तब यहोवा परमेश्वर ने सर्प से कहा, तू ने जो यह किया है इसलिये तू सब घरेलू पशुओं, और सब बनैले पशुओं से अधिक शापित है; तू पेट के बल चला करेगा, और जीवन भर मिट्टी चाटता रहेगा:"
71,verse,Genesis,3,15,"और मैं तेरे और इस स्त्री के बीच में, और तेरे वंश और इसके वंश के बीच में बैर उत्पन्न करुंगा, वह तेरे सिर को कुचल डालेगा, और तू उसकी एड़ी को डसेगा।","और मैं तेरे और इस स्त्री के बीच में, और तेरे वंश और इसके वंश के बीच में बैर उत्पन्न करुंगा, वह तेरे सिर को कुचल डालेगा, और तू उसकी एड़ी को डसेगा।"
72,verse,Genesis,3,16,"फिर स्त्री से उसने कहा, मैं तेरी पीड़ा और तेरे गर्भवती होने के दु:ख को बहुत बढ़ाऊंगा; तू पीड़ित हो कर बालक उत्पन्न करेगी; और तेरी लालसा तेरे पति की ओर होगी, और वह तुझ पर प्रभुता करेगा।","फिर स्त्री से उसने कहा, मैं तेरी पीड़ा और तेरे गर्भवती होने के दु:ख को बहुत बढ़ाऊंगा; तू पीड़ित हो कर बालक उत्पन्न करेगी; और तेरी लालसा तेरे पति की ओर होगी, और वह तुझ पर प्रभुता करेगा।"
